id,profile_path,profile_samples,profile_nodes,profile_start_s,profile_end_s,profile_weighted_fraction_time_average,profile_support_fraction_time_average,profile_weighted_fraction_initial,profile_weighted_fraction_end,profile_support_fraction_initial,profile_support_fraction_end,profile_mean_C_end,profile_max_C_end,profile_mass_fraction_C_above_015_end,profile_min_T_C,profile_max_T_C
t2_q3_fix_cur_outer_d_p050_w100,results/profiles/t2_q3_fix_cur_outer_d_p050_w100.npz,379,321,0.0,205127.49459627407,0.18992210342358598,0.18827475009230463,0.18992210342358595,0.18992210342358595,0.18827475009230468,0.18827475009230468,0.1239939604609051,0.15,0.0,28.0,50.00818966480764
t2_q3_fix_cur_outer_d_p100_w100,results/profiles/t2_q3_fix_cur_outer_d_p100_w100.npz,377,321,0.0,203436.15652193048,0.18992210342358598,0.18827475009230463,0.18992210342358595,0.18992210342358595,0.18827475009230468,0.18827475009230468,0.12368543488545766,0.15,0.0,28.0,50.00836116118588
t2_q3_fix_cur_outer_d_m100_w200,results/profiles/t2_q3_fix_cur_outer_d_m100_w200.npz,390,321,0.0,214287.5063031487,0.3596737359837844,0.36027242659231595,0.3596737359837844,0.3596737359837844,0.3602724265923159,0.3602724265923159,0.12513800366652486,0.15,0.0,28.0,50.00741695291323
t2_q3_fix_cur_outer_d_m050_w200,results/profiles/t2_q3_fix_cur_outer_d_m050_w200.npz,385,321,0.0,210502.23143108387,0.3596737359837844,0.36027242659231595,0.3596737359837844,0.3596737359837844,0.3602724265923159,0.3602724265923159,0.12472308224738016,0.15,0.0,28.0,50.00771916743307
t2_q3_fix_cur_outer_d_p050_w200,results/profiles/t2_q3_fix_cur_outer_d_p050_w200.npz,377,321,0.0,203490.43279907928,0.35967373598378444,0.3602724265923159,0.3596737359837844,0.3596737359837844,0.3602724265923159,0.3602724265923159,0.12388966701818581,0.15,0.0,28.0,50.0082926327176
t2_q3_fix_cur_outer_d_p100_w200,results/profiles/t2_q3_fix_cur_outer_d_p100_w200.npz,373,321,0.0,200245.38036091055,0.3596737359837844,0.360272426592316,0.3596737359837844,0.3596737359837844,0.3602724265923159,0.3602724265923159,0.12347189681180976,0.15,0.0,28.0,50.00856430672587
t2_q3_fix_cur_inner_d_m100_w050,results/profiles/t2_q3_fix_cur_inner_d_m100_w050.npz,401,321,0.0,224233.22939030261,0.9025145014685083,0.902267767127531,0.9025145014685082,0.9025145014685082,0.902267767127531,0.902267767127531,0.12390936104343665,0.15,0.0,28.0,50.00734987904232
t2_q3_fix_cur_inner_d_m050_w050,results/profiles/t2_q3_fix_cur_inner_d_m050_w050.npz,391,321,0.0,215344.4310706387,0.9025145014685084,0.9022677671275308,0.9025145014685082,0.9025145014685082,0.902267767127531,0.902267767127531,0.12410576339570754,0.15,0.0,28.0,50.00768291629067
t2_q3_fix_cur_inner_d_p050_w050,results/profiles/t2_q3_fix_cur_inner_d_p050_w050.npz,372,321,0.0,198896.7769712796,0.9025145014685083,0.9022677671275311,0.9025145014685082,0.9025145014685082,0.902267767127531,0.902267767127531,0.12451267458039905,0.15,0.0,28.0,50.008333747860604
t2_q3_fix_cur_inner_d_p100_w050,results/profiles/t2_q3_fix_cur_inner_d_p100_w050.npz,363,321,0.0,191294.42589484033,0.9025145014685082,0.9022677671275311,0.9025145014685082,0.9025145014685082,0.902267767127531,0.902267767127531,0.12472329218774261,0.15,0.0,28.0,50.007022346359875
t2_q3_fix_cur_inner_d_m100_w100,results/profiles/t2_q3_fix_cur_inner_d_m100_w100.npz,399,321,0.0,222332.66466992363,0.810077896576414,0.8117252499076956,0.8100778965764142,0.8100778965764142,0.8117252499076955,0.8117252499076955,0.12368235514497855,0.15,0.0,28.0,50.00587429293523
t2_q3_fix_cur_inner_d_m050_w100,results/profiles/t2_q3_fix_cur_inner_d_m050_w100.npz,390,321,0.0,214419.29158801597,0.810077896576414,0.8117252499076956,0.8100778965764142,0.8100778965764144,0.8117252499076955,0.8117252499076955,0.12399242066576965,0.15,0.0,28.0,50.00612810433704
t2_q3_fix_cur_inner_d_p050_w100,results/profiles/t2_q3_fix_cur_inner_d_p050_w100.npz,373,321,0.0,199773.9048762604,0.810077896576414,0.8117252499076955,0.8100778965764142,0.8100778965764142,0.8117252499076955,0.8117252499076955,0.12462552702962912,0.15,0.0,28.0,50.00662583542068
t2_q3_fix_cur_inner_d_p100_w100,results/profiles/t2_q3_fix_cur_inner_d_p100_w100.npz,365,321,0.0,193002.96919933552,0.8100778965764142,0.8117252499076956,0.8100778965764142,0.8100778965764142,0.8117252499076955,0.8117252499076955,0.12494832791491306,0.15,0.0,28.0,50.006869091102146
t2_q3_fix_cur_inner_d_m100_w200,results/profiles/t2_q3_fix_cur_inner_d_m100_w200.npz,395,321,0.0,218787.52876562596,0.640326264016216,0.6397275734076843,0.6403262640162158,0.6403262640162158,0.6397275734076842,0.6397275734076842,0.12346873946177625,0.15,0.0,28.0,50.006087620414554
t2_q3_fix_cur_inner_d_m050_w200,results/profiles/t2_q3_fix_cur_inner_d_m050_w200.npz,388,321,0.0,212693.66491820876,0.640326264016216,0.6397275734076843,0.6403262640162158,0.6403262640162158,0.6397275734076842,0.6397275734076842,0.12388810768044663,0.15,0.0,28.0,50.00623383316726
t2_q3_fix_cur_inner_d_p050_w200,results/profiles/t2_q3_fix_cur_inner_d_p050_w200.npz,375,321,0.0,201410.04714938955,0.6403262640162161,0.6397275734076843,0.6403262640162158,0.6403262640162158,0.6397275734076842,0.6397275734076842,0.12472460275533329,0.15,0.0,28.0,50.00652206656839
t2_q3_fix_cur_inner_d_p100_w200,results/profiles/t2_q3_fix_cur_inner_d_p100_w200.npz,369,321,0.0,196189.97361473026,0.6403262640162161,0.6397275734076843,0.6403262640162158,0.6403262640162158,0.6397275734076842,0.6397275734076842,0.1251410056865959,0.15,0.0,28.0,50.00666360063794
t2_q3_fix_cur_lowC_d_m100_c150_s020,results/profiles/t2_q3_fix_cur_lowC_d_m100_c150_s020.npz,389,321,0.0,214270.4627733985,0.34369750449209757,0.3479594060852112,0.0,0.8388494067434596,0.0,0.9999945154201257,0.12472045879310704,0.15,0.0,28.0,50.00637873146788
t2_q3_fix_cur_lowC_d_m050_c150_s020,results/profiles/t2_q3_fix_cur_lowC_d_m050_c150_s020.npz,385,321,0.0,210548.4672003692,0.3421984959420952,0.34675237017378474,0.0,0.8406736312017542,0.0,0.9999945154201257,0.12451425821509159,0.15,0.0,28.0,50.00637873146788
t2_q3_fix_cur_lowC_d_p050_c150_s020,results/profiles/t2_q3_fix_cur_lowC_d_p050_c150_s020.npz,377,321,0.0,203342.28412687214,0.3392078519634972,0.3444765452156169,0.0,0.8443252327539156,0.0,0.9999945154201257,0.12409823883334495,0.15,0.0,28.0,50.00637873146788
t2_q3_fix_cur_lowC_d_p100_c150_s020,results/profiles/t2_q3_fix_cur_lowC_d_p100_c150_s020.npz,373,321,0.0,199854.4891708198,0.33771523183453744,0.3433846843448505,0.0,0.8461521445296211,0.0,0.9999945154201257,0.12388843670129619,0.15,0.0,28.0,50.00637873146788
t2_q3_fix_cur_lowC_d_m100_c200_s020,results/profiles/t2_q3_fix_cur_lowC_d_m100_c200_s020.npz,397,321,0.0,220890.04592551992,0.6212858740497544,0.6315853399397028,0.0,0.9984231551349529,0.0,1.0000000000000002,0.12431533352588925,0.15,0.0,28.0,50.00637873146788
t2_q3_fix_cur_lowC_d_m050_c200_s020,results/profiles/t2_q3_fix_cur_lowC_d_m050_c200_s020.npz,389,321,0.0,213743.37282448,0.613974035419905,0.6240667762539445,0.0,0.9984236909614885,0.0,1.0000000000000002,0.12431107153437192,0.15,0.0,28.0,50.00637873146788
t2_q3_fix_cur_lowC_d_p050_c200_s020,results/profiles/t2_q3_fix_cur_lowC_d_p050_c200_s020.npz,373,321,0.0,200364.98020543891,0.5991688090508533,0.6091124898182934,0.0,0.9984247708429763,0.0,1.0000000000000002,0.12430267209909604,0.15,0.0,28.0,50.00637873146788
t2_q3_fix_cur_lowC_d_p100_c200_s020,results/profiles/t2_q3_fix_cur_lowC_d_p100_c200_s020.npz,366,321,0.0,194105.96378605955,0.5916810757432647,0.601469799040307,0.0,0.9984253148036256,0.0,1.0000000000000002,0.12429854832892982,0.15,0.0,28.0,50.00775300002424
t2_q3_fix_cur_lowC_d_m100_c300_s020,results/profiles/t2_q3_fix_cur_lowC_d_m100_c300_s020.npz,400,321,0.0,223717.9418401609,0.7770289978291408,0.7781861748914791,0.0,0.9999999282021045,0.0,1.0000000000000002,0.1243039968239491,0.15,0.0,28.0,50.00775300002424
t2_q3_fix_cur_lowC_d_m050_c300_s020,results/profiles/t2_q3_fix_cur_lowC_d_m050_c300_s020.npz,390,321,0.0,215106.57364751358,0.7701138223009689,0.771299925995805,0.0,0.9999999282004955,0.0,1.0000000000000002,0.12430537040287029,0.15,0.0,28.0,50.00775300002424
t2_q3_fix_cur_lowC_d_p050_c300_s020,results/profiles/t2_q3_fix_cur_lowC_d_p050_c300_s020.npz,372,321,0.0,199098.05920638045,0.7557582447727043,0.7570192160516795,0.0,0.9999999281968404,0.0,1.0000000000000002,0.12430844218419425,0.15,0.0,28.0,50.00775300002424
t2_q3_fix_cur_lowC_d_p100_c300_s020,results/profiles/t2_q3_fix_cur_lowC_d_p100_c300_s020.npz,363,321,0.0,191663.24003931062,0.7483182374298998,0.7496156849582463,0.0,0.9999999281947612,0.0,1.0000000000000002,0.12431016109093855,0.15,0.0,28.0,50.00775300002424
t2_q3_fix_cur_global_d_m100,results/profiles/t2_q3_fix_cur_global_d_m100.npz,403,321,0.0,226184.42526136426,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.12430398574656336,0.15,0.0,28.0,50.006877747867655
t2_q3_fix_cur_global_d_m050,results/profiles/t2_q3_fix_cur_global_d_m050.npz,392,321,0.0,216293.54135448678,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.12430536474540106,0.15,0.0,28.0,50.007319287911315
t2_q3_fix_cur_global_d_p050,results/profiles/t2_q3_fix_cur_global_d_p050.npz,371,321,0.0,197998.22400256948,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.12430844810469244,0.15,0.0,28.0,50.00817852739038
t2_q3_fix_cur_global_d_p100,results/profiles/t2_q3_fix_cur_global_d_p100.npz,361,321,0.0,189545.53623662994,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.12431017321817048,0.15,0.0,28.0,50.00859553000528
t2_q3_fix_cur_lowC_d_m100_c200_s010,results/profiles/t2_q3_fix_cur_lowC_d_m100_c200_s010.npz,397,321,0.0,221064.48895905804,0.6291076704028491,0.6313478390108843,0.0,0.9999942150069312,0.0,1.0000000000000002,0.12430671771846147,0.15,0.0,28.0,50.00775300002424
