id,task,question,moving_radius,eps_final,boundary_norm,perturb_kind,logD_delta,region_width,C_cut,C_smooth,comparison,reference_id,candidate_status,reference_status,effect_definition,perturb_support_dry_mass_fraction,reference_perturb_support_dry_mass_fraction,perturb_weighted_dry_mass_fraction,reference_perturb_weighted_dry_mass_fraction,tcritical_s,reference_tcritical_s,delta_tcritical_s,relative_delta_tcritical_s,tcritical_s_pair_available,tmean_s,reference_tmean_s,delta_tmean_s,relative_delta_tmean_s,tmean_s_pair_available,tail_s,reference_tail_s,delta_tail_s,relative_delta_tail_s,tail_s_pair_available,comparison_status,weighted_logD_dose,mask_interpretation,d_tcritical_s_per_logD_amplitude,d_tcritical_s_per_weighted_logD_dose,d_tmean_s_per_logD_amplitude,d_tmean_s_per_weighted_logD_dose,d_tail_s_per_logD_amplitude,d_tail_s_per_weighted_logD_dose
t1_q4_mov_ini_eps_p050,1,4,True,0.05,initial_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_ini_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,192284.2197387755,200479.49357444764,-8195.273835672153,-0.04087836461253258,True,134566.34623059566,142965.3502083724,-8399.003977776738,-0.058748528685693184,True,57717.87350817982,57514.14336607524,203.73014210458496,0.003542261610467719,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_p100,1,4,True,0.1,initial_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_ini_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,185003.92312668063,200479.49357444764,-15475.570447767008,-0.0771927850167887,True,126889.41466663366,142965.3502083724,-16075.935541738741,-0.11244637612056362,True,58114.50846004697,57514.14336607524,600.3650939717336,0.010438564478834947,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_p150,1,4,True,0.15,initial_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_ini_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,178623.52824026725,200479.49357444764,-21855.965334180393,-0.10901845841936061,True,119913.19093551008,142965.3502083724,-23052.15927286232,-0.1612429811787523,True,58710.337304757166,57514.14336607524,1196.1939386819286,0.020798257066408896,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q3_fix_cur_eps_z000,1,3,False,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q3_fix_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,206906.38550188617,206906.38550188617,0.0,0.0,True,129689.56695340588,129689.56695340588,0.0,0.0,True,77216.8185484803,77216.8185484803,0.0,0.0,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q3_mov_cur_eps_z000,1,3,True,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q3_mov_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,90866.25131538058,90866.25131538058,0.0,0.0,True,62718.617655138056,62718.617655138056,0.0,0.0,True,28147.63366024252,28147.63366024252,0.0,0.0,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_fix_cur_eps_z000,1,4,False,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_fix_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,467454.7465515726,467454.7465515726,0.0,0.0,True,306090.56863397505,306090.56863397505,0.0,0.0,True,161364.17791759752,161364.17791759752,0.0,0.0,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t2_q3_fix_cur_baseline,2,3,False,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,206906.37119180989,206906.37119180989,0.0,0.0,True,129689.55266173928,129689.55266173928,0.0,0.0,True,77216.8185300706,77216.8185300706,0.0,0.0,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t2_q3_fix_cur_outer_d_m100_w050,2,3,False,0.0,current_dry_density,outer,-0.1,0.05,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.097732232872469,0.0,0.0974854985314918,0.0,208847.9288783893,206906.37119180989,1941.5576865794137,0.009383750125217352,True,131875.18135069867,129689.55266173928,2185.6286889593903,0.016852773751637663,True,76972.74752769063,77216.8185300706,-244.071002379962,-0.003160852868924058,True,both_critical_reached,-0.00974854985314918,fixed material-label mask,-19415.576865794137,-199163.74392363714,-21856.286889593903,-224200.39102055194,2440.71002379962,25036.6470969133
t2_q3_fix_cur_outer_d_m050_w050,2,3,False,0.0,current_dry_density,outer,-0.05,0.05,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.097732232872469,0.0,0.0974854985314918,0.0,207853.0686656048,206906.37119180989,946.6974737949204,0.004575487300568897,True,130758.40843039472,129689.55266173928,1068.8557686554414,0.00824164897417194,True,77094.66023521006,77216.8185300706,-122.15829486053553,-0.0015820166796041118,True,both_critical_reached,-0.00487427492657459,fixed material-label mask,-18933.949475898407,-194223.24100627098,-21377.115373108827,-219285.0802953338,2443.1658972107107,25061.839289065832
t2_q3_fix_cur_outer_d_p050_w050,2,3,False,0.0,current_dry_density,outer,0.05,0.05,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.097732232872469,0.0,0.0974854985314918,0.0,206005.41434567876,206906.37119180989,-900.9568461311283,-0.00435441809230663,True,128666.33646943336,129689.55266173928,-1023.2161923059175,-0.00788973491931694,True,77339.07787624536,77216.8185300706,122.25934617476014,0.0015833253493492303,True,both_critical_reached,0.00487427492657459,fixed material-label mask,-18019.136922622565,-184839.15242841627,-20464.32384611835,-209921.72327566787,2445.186923495203,25082.570847245628
t2_q3_fix_cur_outer_d_p100_w050,2,3,False,0.0,current_dry_density,outer,0.1,0.05,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.097732232872469,0.0,0.0974854985314918,0.0,205147.900407529,206906.37119180989,-1758.4707842808857,-0.008498872094425347,True,127686.59742437876,129689.55266173928,-2002.955237360511,-0.015444229671951198,True,77461.30298315025,77216.8185300706,244.4844530796545,0.0031662072814414746,True,both_critical_reached,0.00974854985314918,fixed material-label mask,-17584.707842808857,-180382.80675282466,-20029.55237360511,-205461.86535769468,2444.844530796545,25079.05860487301
t2_q3_fix_cur_outer_d_m100_w100,2,3,False,0.0,current_dry_density,outer,-0.1,0.1,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.1882747500923046,0.0,0.1899221034235859,0.0,210745.7374603712,206906.37119180989,3839.366268561309,0.018556056280171644,True,133589.38724841902,129689.55266173928,3899.8345866797463,0.03007053773137323,True,77156.35021195217,77216.8185300706,-60.46831811842276,-0.0007830977663871834,True,both_critical_reached,-0.018992210342358592,fixed material-label mask,-38393.66268561309,-202154.78869241022,-38998.34586679746,-205338.6370717415,604.6831811842276,3183.848379330521
t2_q3_fix_cur_outer_d_m050_w100,2,3,False,0.0,current_dry_density,outer,-0.05,0.1,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.1882747500923045,0.0,0.1899221034235859,0.0,208777.47313693768,206906.37119180989,1871.101945127797,0.009043230202868988,True,131594.762788528,129689.55266173928,1905.2101267887192,0.014690544362952298,True,77182.71034840969,77216.8185300706,-34.108181660907576,-0.0004417195930913005,True,both_critical_reached,-0.009496105171179296,fixed material-label mask,-37422.03890255594,-197038.881878288,-38104.202535774384,-200630.68936631377,682.1636332181515,3591.807488024248
t2_q3_fix_cur_outer_d_p050_w100,2,3,False,0.0,current_dry_density,outer,0.05,0.1,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.1882747500923046,0.0,0.1899221034235859,0.0,205127.49459627407,206906.37119180989,-1778.8765955358103,-0.008597495501415593,True,127869.31847123869,129689.55266173928,-1820.2341905005887,-0.014035318598470193,True,77258.17612503539,77216.8185300706,41.35759496479295,0.0005356034572790258,True,both_critical_reached,0.009496105171179296,fixed material-label mask,-35577.53191071621,-187326.9686328565,-36404.683810011775,-191682.18524211424,827.151899295859,4355.216609259274
t2_q3_fix_cur_outer_d_p100_w100,2,3,False,0.0,current_dry_density,outer,0.1,0.1,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.1882747500923046,0.0,0.1899221034235859,0.0,203436.15652193048,206906.37119180989,-3470.2146698794095,-0.016771908230232273,True,126129.85052071548,129689.55266173928,-3559.702141023794,-0.0274478712275948,True,77306.30600121501,77216.8185300706,89.48747114441358,0.0011589116574333403,True,both_critical_reached,0.018992210342358592,fixed material-label mask,-34702.146698794095,-182717.7883629343,-35597.02141023794,-187429.58701781754,894.8747114441358,4711.798654884757
t2_q3_fix_cur_outer_d_m100_w200,2,3,False,0.0,current_dry_density,outer,-0.1,0.2,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.3602724265923158,0.0,0.3596737359837844,0.0,214287.5063031487,206906.37119180989,7381.135111338808,0.03567379326611563,True,136221.49772453468,129689.55266173928,6531.945062795407,0.050366008122737914,True,78066.00857861401,77216.8185300706,849.1900485434162,0.010997475222482983,True,both_critical_reached,-0.03596737359837844,fixed material-label mask,-73811.35111338808,-205217.51723544198,-65319.450627954066,-181607.50728515506,-8491.900485434162,-23610.009950287313
t2_q3_fix_cur_outer_d_m050_w200,2,3,False,0.0,current_dry_density,outer,-0.05,0.2,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.3602724265923158,0.0,0.3596737359837844,0.0,210502.23143108387,206906.37119180989,3595.860239273985,0.01737916632804163,True,132875.85126331667,129689.55266173928,3186.298601577393,0.0245686605912506,True,77626.3801677672,77216.8185300706,409.56163769660634,0.005304047039144852,True,both_critical_reached,-0.01798368679918922,fixed material-label mask,-71917.2047854797,-199951.22687724416,-63725.97203154786,-177177.1626784028,-8191.232753932127,-22774.064198842203
t2_q3_fix_cur_outer_d_p050_w200,2,3,False,0.0,current_dry_density,outer,0.05,0.2,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.3602724265923158,0.0,0.3596737359837844,0.0,203490.43279907928,206906.37119180989,-3415.9383927306044,-0.016509585340723523,True,126654.52842593036,129689.55266173928,-3035.0242358089163,-0.023402226112422257,True,76835.90437314891,77216.8185300706,-380.9141569216881,-0.004933046506873998,True,both_critical_reached,0.01798368679918922,fixed material-label mask,-68318.76785461209,-189946.50156410693,-60700.484716178325,-168765.40776642907,-7618.283138433762,-21181.093797677866
