id,task,question,moving_radius,eps_final,boundary_norm,perturb_kind,logD_delta,region_width,C_cut,C_smooth,comparison,reference_id,candidate_status,reference_status,effect_definition,perturb_support_dry_mass_fraction,reference_perturb_support_dry_mass_fraction,perturb_weighted_dry_mass_fraction,reference_perturb_weighted_dry_mass_fraction,tcritical_s,reference_tcritical_s,delta_tcritical_s,relative_delta_tcritical_s,tcritical_s_pair_available,tmean_s,reference_tmean_s,delta_tmean_s,relative_delta_tmean_s,tmean_s_pair_available,tail_s,reference_tail_s,delta_tail_s,relative_delta_tail_s,tail_s_pair_available,comparison_status,weighted_logD_dose,mask_interpretation,d_tcritical_s_per_logD_amplitude,d_tcritical_s_per_weighted_logD_dose,d_tmean_s_per_logD_amplitude,d_tmean_s_per_weighted_logD_dose,d_tail_s_per_logD_amplitude,d_tail_s_per_weighted_logD_dose
t1_q4_mov_ini_eps_m150,1,4,True,-0.15,initial_dry_density,none,0.0,0.1,0.2,0.02,initial-density minus current-density boundary,t1_q4_mov_cur_eps_m150,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,230610.4207545807,217091.9206685628,13518.500086017913,0.06227085763664505,True,172608.1361305541,158798.00237248663,13810.133758067474,0.08696667182042725,True,58002.28462402659,58293.918296076125,-291.633672049531,-0.005002814711619092,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_m100,1,4,True,-0.1,initial_dry_density,none,0.0,0.1,0.2,0.02,initial-density minus current-density boundary,t1_q4_mov_cur_eps_m100,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,219634.89461178103,205063.0692415737,14571.825370207313,0.07106021295839005,True,161976.1160020556,147052.72019486298,14923.395807192632,0.10148330331745847,True,57658.77860972541,58010.34904671073,-351.5704369853265,-0.006060477876149946,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_m050,1,4,True,-0.05,initial_dry_density,none,0.0,0.1,0.2,0.02,initial-density minus current-density boundary,t1_q4_mov_cur_eps_m050,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,209597.88471910355,193996.0879060064,15601.796813097142,0.08042325482695513,True,152098.35974441073,136083.66312572453,16014.696618686197,0.11768272730791052,True,57499.52497469282,57912.42478028184,-412.8998055890261,-0.007129727466179437,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_z000,1,4,True,0.0,initial_dry_density,none,0.0,0.1,0.2,0.02,initial-density minus current-density boundary,t1_q4_mov_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,200479.49357444764,183918.6712734305,16560.82230101715,0.09004426894970495,True,142965.3502083724,125889.68387967676,17075.666328695646,0.13563991744562867,True,57514.14336607524,58028.98739375375,-514.8440276785113,-0.008872187001731643,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_p050,1,4,True,0.05,initial_dry_density,none,0.0,0.1,0.2,0.02,initial-density minus current-density boundary,t1_q4_mov_cur_eps_p050,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,192284.2197387755,174839.14034080284,17445.079397972644,0.09977788362473104,True,134566.34623059566,116451.83210196222,18114.51412863344,0.15555370664132478,True,57717.87350817982,58387.30823884062,-669.434730660796,-0.01146541518787592,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_p100,1,4,True,0.1,initial_dry_density,none,0.0,0.1,0.2,0.02,initial-density minus current-density boundary,t1_q4_mov_cur_eps_p100,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,185003.92312668063,166762.69250813697,18241.23061854366,0.10938436135920271,True,126889.41466663366,107775.7910998321,19113.623566801558,0.17734616811206438,True,58114.50846004697,58986.90140830487,-872.3929482578969,-0.01478960459745511,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_p150,1,4,True,0.15,initial_dry_density,none,0.0,0.1,0.2,0.02,initial-density minus current-density boundary,t1_q4_mov_cur_eps_p150,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,178623.52824026725,159689.4410407866,18934.08719948065,0.11856818507270409,True,119913.19093551008,99839.74123381726,20073.44970169282,0.20105670801652314,True,58710.337304757166,59849.699806969336,-1139.3625022121705,-0.019037062940781783,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
