id,task,question,moving_radius,eps_final,boundary_norm,perturb_kind,logD_delta,region_width,C_cut,C_smooth,comparison,reference_id,candidate_status,reference_status,effect_definition,perturb_support_dry_mass_fraction,reference_perturb_support_dry_mass_fraction,perturb_weighted_dry_mass_fraction,reference_perturb_weighted_dry_mass_fraction,tcritical_s,reference_tcritical_s,delta_tcritical_s,relative_delta_tcritical_s,tcritical_s_pair_available,tmean_s,reference_tmean_s,delta_tmean_s,relative_delta_tmean_s,tmean_s_pair_available,tail_s,reference_tail_s,delta_tail_s,relative_delta_tail_s,tail_s_pair_available,comparison_status,weighted_logD_dose,mask_interpretation,d_tcritical_s_per_logD_amplitude,d_tcritical_s_per_weighted_logD_dose,d_tmean_s_per_logD_amplitude,d_tmean_s_per_weighted_logD_dose,d_tail_s_per_logD_amplitude,d_tail_s_per_weighted_logD_dose
t1_q4_mov_cur_eps_z000,1,4,True,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,measured-affine-radius minus fixed-radius control,t1_q4_fix_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,183918.6712734305,467454.7465515726,-283536.0752781421,-0.6065529922838437,True,125889.68387967676,306090.56863397505,-180200.8847542983,-0.5887175340243287,True,58028.98739375375,161364.17791759752,-103335.19052384378,-0.6403849470023829,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q3_mov_cur_eps_z000,1,3,True,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,measured-affine-radius minus fixed-radius control,t1_q3_fix_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,90866.25131538058,206906.38550188617,-116040.13418650559,-0.5608339921700859,True,62718.617655138056,129689.56695340588,-66970.94929826783,-0.5163942703450368,True,28147.63366024252,77216.8185484803,-49069.184888237774,-0.6354727611243122,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
