question,moving_radius,perturb_kind,region_width,C_cut,C_smooth,positive_id,negative_id,baseline_id,amplitude,mask_is_state_dependent,paired_mean_weighted_mass_fraction,central_d_tcritical_s_per_logD,central_d_tcritical_s_per_weighted_logD,relative_central_d_tcritical_s,nonlinear_asymmetry_tcritical_s,central_d_tmean_s_per_logD,central_d_tmean_s_per_weighted_logD,relative_central_d_tmean_s,nonlinear_asymmetry_tmean_s,central_d_tail_s_per_logD,central_d_tail_s_per_weighted_logD,relative_central_d_tail_s,nonlinear_asymmetry_tail_s
3,False,outer,0.05,0.2,0.02,t2_q3_fix_cur_outer_d_p050_w050,t2_q3_fix_cur_outer_d_m050_w050,t2_q3_fix_cur_baseline,0.05,False,0.0974854985314918,-18476.543199260486,-189531.19671734364,-0.08929905392875527,45.74062766379211,-20920.71960961359,-214603.40178550087,-0.1613138389348888,45.63957634952385,2444.1764103529567,25072.20506815573,0.03165342028953342,0.10105131421005353
3,False,outer,0.05,0.2,0.02,t2_q3_fix_cur_outer_d_p100_w050,t2_q3_fix_cur_outer_d_m100_w050,t2_q3_fix_cur_baseline,0.1,False,0.0974854985314918,-18500.142354301497,-189773.2753382309,-0.0894131110982135,183.0869022984989,-20942.919631599507,-214831.12818912332,-0.1614850171179443,182.67345159887918,2442.7772772980825,25057.852850893156,0.03163530075182766,0.4134506997070275
3,False,outer,0.1,0.2,0.02,t2_q3_fix_cur_outer_d_p050_w100,t2_q3_fix_cur_outer_d_m050_w100,t2_q3_fix_cur_baseline,0.05,False,0.1899221034235859,-36499.785406636074,-192182.92525557228,-0.17640725704284582,92.22534959198674,-37254.44317289308,-196156.43730421402,-0.28725862961422494,84.97593628813047,754.6577662570053,3973.5120486417613,0.009773230503703262,7.249413303885376
3,False,outer,0.1,0.2,0.02,t2_q3_fix_cur_outer_d_p100_w100,t2_q3_fix_cur_outer_d_m100_w100,t2_q3_fix_cur_baseline,0.1,False,0.1899221034235859,-36547.90469220359,-192436.2885276723,-0.17663982255201957,369.1515986819286,-37297.6836385177,-196384.11204477955,-0.28759204479484013,340.1324456559669,749.7789463141817,3947.823517107639,0.009710047119102618,29.019153025990818
3,False,outer,0.2,0.2,0.02,t2_q3_fix_cur_outer_d_p050_w200,t2_q3_fix_cur_outer_d_m050_w200,t2_q3_fix_cur_baseline,0.05,False,0.3596737359837844,-70117.9863200459,-194948.86422067558,-0.33888751668765155,179.92184654338052,-62213.228373863094,-172971.28522241593,-0.47970886703672855,151.27436576847686,-7904.757946182945,-21977.578998260036,-0.10237093546018851,28.64748077490367
3,False,outer,0.2,0.2,0.02,t2_q3_fix_cur_outer_d_p100_w200,t2_q3_fix_cur_outer_d_m100_w200,t2_q3_fix_cur_baseline,0.1,False,0.3596737359837844,-70210.62971119085,-195206.44041230812,-0.3393352718273861,720.1442804394756,-62291.9550889566,-173190.1689139876,-0.4803159067980488,605.4991077994928,-7918.674622234103,-22016.271498320104,-0.10255116402070266,114.64517264001188
3,False,inner,0.05,0.2,0.02,t2_q3_fix_cur_inner_d_p050_w050,t2_q3_fix_cur_inner_d_m050_w050,t2_q3_fix_cur_baseline,0.05,False,0.9025145014685081,-164476.5409935909,-182242.5464920134,-0.7949322200480479,428.4656582985772,-84691.99400581187,-93840.03677282417,-0.6530363646693147,222.71801424588193,-79784.54698777903,-88402.50971918926,-1.0332534868256515,205.74764405269525
3,False,inner,0.05,0.2,0.02,t2_q3_fix_cur_inner_d_p100_w050,t2_q3_fix_cur_inner_d_m100_w050,t2_q3_fix_cur_baseline,0.1,False,0.902514501468508,-164694.01747731114,-182483.51379322176,-0.7959833065006667,1714.9129015231738,-84804.66519897469,-93964.87819418582,-0.6539051408417231,891.3941961152013,-79889.35227833666,-88518.63559903618,-1.0346107726158815,823.5187054080307
3,False,inner,0.1,0.2,0.02,t2_q3_fix_cur_inner_d_p050_w100,t2_q3_fix_cur_inner_d_m050_w100,t2_q3_fix_cur_baseline,0.05,False,0.810077896576414,-146453.86711755593,-180789.85704523668,-0.7078267637384049,380.4540806566365,-68357.34924159595,-84383.67412626701,-0.5270844708662688,175.9151952547545,-78096.51787595969,-96406.18291896932,-1.011392587296853,204.538885401882
3,False,inner,0.1,0.2,0.02,t2_q3_fix_cur_inner_d_p100_w100,t2_q3_fix_cur_inner_d_m100_w100,t2_q3_fix_cur_baseline,0.1,False,0.8100778965764142,-146648.47735294054,-181030.09349188837,-0.7087673352358587,1522.8914856393822,-68446.18439861319,-84493.33661353233,-0.5277694540063445,704.2012712906871,-78202.29295432735,-96536.75687835604,-1.012762432369225,818.6902143487241
3,False,inner,0.2,0.2,0.02,t2_q3_fix_cur_inner_d_p050_w200,t2_q3_fix_cur_inner_d_m050_w200,t2_q3_fix_cur_baseline,0.05,False,0.6403262640162157,-112836.1776881924,-176216.69456515517,-0.545348976149164,290.9696839785902,-43399.133738812816,-67776.59480435394,-0.33463862622772644,108.23758808517596,-69437.0439493793,-108440.09976080079,-0.8992476674280278,182.73209589338512
3,False,inner,0.2,0.2,0.02,t2_q3_fix_cur_inner_d_p100_w200,t2_q3_fix_cur_inner_d_m100_w200,t2_q3_fix_cur_baseline,0.1,False,0.6403262640162157,-112987.77575447879,-176453.44585087558,-0.5460816653622277,1164.7599967364222,-43454.177571233085,-67862.55697007087,-0.33506305388045987,433.33685777671053,-69533.59818324541,-108590.88888080425,-0.9004980975247886,731.423138959799
3,False,lowC,0.1,0.15,0.02,t2_q3_fix_cur_lowC_d_p050_c150_s020,t2_q3_fix_cur_lowC_d_m050_c150_s020,t2_q3_fix_cur_baseline,0.05,True,0.34070317395279615,-72061.83073497086,-211509.12654824552,-0.3482823188086696,78.00894362153485,-31840.691017904028,-93455.80978448855,-0.245514695396876,25.79274411482038,-40221.139717066544,-118053.31676375611,-0.5208857407328068,52.21619950677268
3,False,lowC,0.1,0.15,0.02,t2_q3_fix_cur_lowC_d_p100_c150_s020,t2_q3_fix_cur_lowC_d_m100_c150_s020,t2_q3_fix_cur_baseline,0.1,True,0.34070636816331745,-72079.86801289342,-211560.0844253723,-0.3483694948478542,312.2095605985378,-31844.80479571859,-93467.00787363562,-0.24554641559121806,103.31283027402242,-40235.06321717483,-118093.07655173668,-0.5210660576685902,208.89673032454448
3,False,lowC,0.1,0.2,0.02,t2_q3_fix_cur_lowC_d_p050_c200_s020,t2_q3_fix_cur_lowC_d_m050_c200_s020,t2_q3_fix_cur_baseline,0.05,True,0.6065714222353792,-133783.92619041115,-220557.58198660484,-0.6465916221902538,295.6106462990865,-58362.628847727465,-96217.24121562709,-0.45001796713688164,109.95361565492931,-75421.29734268339,-124340.34077097727,-0.9767470193467247,185.65703064424451
3,False,lowC,0.1,0.2,0.02,t2_q3_fix_cur_lowC_d_p100_c200_s020,t2_q3_fix_cur_lowC_d_m100_c200_s020,t2_q3_fix_cur_baseline,0.1,True,0.6064834748965094,-133920.41069730185,-220814.60788384065,-0.6472512659996954,1183.2673279597075,-58407.39117215977,-96305.0002015742,-0.45036311694666664,440.19099364677095,-75513.01952514215,-124509.60768226656,-0.9779348717369788,743.0763343129656
3,False,lowC,0.1,0.3,0.02,t2_q3_fix_cur_lowC_d_p050_c300_s020,t2_q3_fix_cur_lowC_d_m050_c300_s020,t2_q3_fix_cur_baseline,0.05,True,0.7629360335368365,-160085.14441133157,-209827.7409564799,-0.773708143877922,391.8904702742584,-82751.95614723285,-108465.1301153118,-0.638077273371968,198.81963850866305,-77333.18826409843,-101362.6108411677,-1.0015070516532938,193.07083176562446
3,False,lowC,0.1,0.3,0.02,t2_q3_fix_cur_lowC_d_p100_c300_s020,t2_q3_fix_cur_lowC_d_m100_c300_s020,t2_q3_fix_cur_baseline,0.1,True,0.7626736176295202,-160273.50900425125,-210146.91645215193,-0.7746185295361048,1568.4394958517514,-82843.55821956196,-108622.5566278922,-0.6387835914249574,795.6770062846481,-77429.95078468935,-101524.35982425981,-1.0027601791769725,772.7624895671615
3,False,global,0.1,0.2,0.02,t2_q3_fix_cur_global_d_p050,t2_q3_fix_cur_global_d_m050,t2_q3_fix_cur_baseline,0.05,False,1.0,-182953.1735191733,-182953.1735191733,-0.8842317057002025,479.022973436513,-105615.93425024621,-105615.93425024621,-0.8143750370218124,285.9409571556607,-77337.23926892693,-77337.23926892693,-1.001559514379752,193.08201628085226
3,False,global,0.1,0.2,0.02,t2_q3_fix_cur_global_d_p100,t2_q3_fix_cur_global_d_m100,t2_q3_fix_cur_baseline,0.1,False,1.0,-183194.44512367132,-183194.44512367132,-0.8853977964450561,1917.2191143744276,-105760.43237265068,-105760.43237265068,-0.8154892217763959,1144.412188535498,-77434.012751021,-77434.012751021,-1.0028127838608867,772.8069258389296
3,False,lowC,0.1,0.2,0.01,t2_q3_fix_cur_lowC_d_p100_c200_s010,t2_q3_fix_cur_lowC_d_m100_c200_s010,t2_q3_fix_cur_baseline,0.1,True,0.6141823904227556,-135547.29989967862,-220695.51653276538,-0.655114190630801,1206.7755545605905,-59023.2610319426,-96100.54269272611,-0.45511191781105986,444.4426726188685,-76524.03886773602,-124594.97384003927,-0.9910281247593128,762.3328819417511
3,False,lowC,0.1,0.2,0.04,t2_q3_fix_cur_lowC_d_p100_c200_s040,t2_q3_fix_cur_lowC_d_m100_c200_s040,t2_q3_fix_cur_baseline,0.1,True,0.5788229693723741,-126766.89603836407,-219008.0607475187,-0.612677586041304,1055.0310845059576,-56533.66448340617,-97670.04330306107,-0.4359153326009167,411.5539702436363,-70233.23155495775,-121338.01744445738,-0.9095587320475625,643.4771142623504
4,True,outer,0.05,0.2,0.02,t2_q4_mov_cur_outer_d_p050_w050,t2_q4_mov_cur_outer_d_m050_w050,t2_q4_mov_cur_baseline,0.05,False,0.0974854985314919,-16452.618972059863,-168769.91162685576,-0.08945595526451462,40.80039224901702,-18141.58806662279,-186095.24842058736,-0.1441070452010328,40.720018944179174,1688.9690945627808,17325.336793730126,0.02910561049654931,0.08037330482329708
4,True,outer,0.05,0.2,0.02,t2_q4_mov_cur_outer_d_p100_w050,t2_q4_mov_cur_outer_d_m100_w050,t2_q4_mov_cur_baseline,0.1,False,0.0974854985314918,-16473.94951364069,-168988.71895617308,-0.08957193339399436,163.17739071510732,-18165.929151114615,-186344.93770626077,-0.14430039772068123,162.81514664538554,1691.979637473487,17356.218750083208,0.02915749048039522,0.3622440697654383
4,True,outer,0.1,0.2,0.02,t2_q4_mov_cur_outer_d_p050_w100,t2_q4_mov_cur_outer_d_m050_w100,t2_q4_mov_cur_baseline,0.05,False,0.18992210342358595,-32580.66900146281,-171547.53666979817,-0.17714716870501476,82.58920670859516,-33220.70587122478,-174917.5334117492,-0.2638874692234156,76.41294475391624,640.0368697619706,3369.9967419510267,0.01102960610392041,6.176261954751681
4,True,outer,0.1,0.2,0.02,t2_q4_mov_cur_outer_d_p100_w100,t2_q4_mov_cur_outer_d_m100_w100,t2_q4_mov_cur_baseline,0.1,False,0.18992210342358595,-32623.92236298052,-171775.27931132336,-0.17738234529176602,330.3098306222819,-33265.855114434744,-175155.25847058167,-0.26424611059528214,307.2732562995807,641.9327514540782,3379.979159257554,0.01106227739095323,23.036574322686647
