% Model,Untitled.mph
% Version,COMSOL 6.0.0.318
% Date,"Sep 11 2026, 15:35"
% Dimension,2
% Nodes,28251
% Expressions,1
% Description,因变量 u
% Length unit,m
% r,z,u (m)
0.004361888727053687,0.004527580839799752,-0.4999904870238896
0,0.006666666666666658,-0.5000000000605248
0,0,-0.5000000000605249
0.006666666666643728,0,-0.49997777783829883
0.004984362264462138,0.010056235335169037,-0.4999875781269312
0,0.013333333333333317,-0.500000000060525
0.013333333333310549,0,-0.4999111111716214
0.010158414704162566,0.005915002197163066,-0.49994840336586543
0.005193107418313747,0.016639432782388868,-0.49998651587819437
0,0.019999999999999976,-0.500000000060526
0.01687878708719115,0.005384154587988466,-0.49985755333373433
0.01999999999997737,0,-0.4998000000604927
0.010192763213554557,0.013255394842086321,-0.4999480538495528
0.01495741398687942,0.010278678075524262,-0.4998881379439191
0.005319192589774459,0.0232938618194746,-0.4999858531556201
0,0.026666666666666637,-0.5000000000605265
0.02347113723219491,0.005407574420797474,-0.4997245529189938
0.02666666666664419,0,-0.49964444450491136
0.010662328823649989,0.019897764616388813,-0.49994315743254464
0.020406305239391544,0.010782727999496644,-0.49979179141372937
0.016656435425121963,0.016417185634249543,-0.49986128163996707
0.005337190705550358,0.02995826788186578,-0.49998575725821065
0,0.0333333333333333,-0.5000000000605266
0.03006757644549086,0.005419819017370913,-0.499547970483798
0.03333333333331101,0,-0.49944444450487896
0.010651619101847235,0.026590893157434528,-0.4999432715657721
0.026887153213687356,0.010858234660823812,-0.4996385405564978
0.015950773920778982,0.0231974343075404,-0.49987278646616934
0.023661385605784624,0.016363788966713932,-0.49972006947608666
0.020896181130638652,0.021116530660703545,-0.4997816748675681
0.005350234715062161,0.03663378454840514,-0.49998568755477185
0,0.03999999999999996,-0.5000000000605272
0.03670732473032623,0.005413912672513779,-0.4993262862159858
0.03999999999997783,0,-0.4992000000603944
0.010681144768213845,0.03325789272175763,-0.49994295663373817
0.0334908196173361,0.01084722969080612,-0.499439182561113
0.015959025005891966,0.02994026008895385,-0.49987265482093685
0.030254554440616033,0.01632773261209952,-0.4995423310282506
0.021304466922614985,0.026703278495450115,-0.49977305990506143
0.026867684185252164,0.02268032223291053,-0.4996390638337282
0.0053690317517375375,0.04330868587870417,-0.49998558680955035
0,0.04666666666666662,-0.500000000060529
0.04335957765062623,0.005405367744722056,-0.49905997357335
0.04666666666664465,0,-0.49891111117145753
0.010714041064871227,0.03994452747477,-0.499942604722549
0.0400745046248878,0.010816994811930547,-0.49919701709992886
0.016004941227330823,0.03659449436030682,-0.49987192098866157
0.03695380424900836,0.01624668437009815,-0.49931720823617703
0.021161204094565914,0.03329756749123362,-0.4997761017811248
0.03396106311288011,0.021739114422836714,-0.4994233231565543
0.02646606934446022,0.02983051221549482,-0.49964977364719715
0.0319832411640769,0.027865617915920182,-0.49948853620276384
0.0053847820293014366,0.04998576454546095,-0.499985502121776
0,0.05333333333333328,-0.5000000000605314
0.05000992273319768,0.005400210978014992,-0.49874950387442946
0.05333333333331147,0,-0.4985777778380707
0.010742389509351831,0.046635785944130544,-0.4999423005943346
0.046700455461321407,0.010801308947879668,-0.49890953379019926
0.01607544794724903,0.043294801966258026,-0.49987079004715546
0.04342539442592719,0.01619415506799507,-0.49905711761984844
0.02137255338435162,0.03999197802865145,-0.4997716070414074
0.04057307408051081,0.021554508005121265,-0.4991769128902213
0.026615456938501748,0.03684267911026589,-0.49964580878644754
0.03798445553513736,0.02691302606317955,-0.49927859062925967
0.031920730748640824,0.03420201953266455,-0.4994905335346815
0.036063585346990945,0.031463543346524125,-0.4993497089663824
0.0053940428992716,0.056660461932366325,-0.4999854522111304
0,0.05999999999999994,-0.5000000000605331
0.05666666666664488,0.005398225016923061,-0.49839444450470755
0.05999999999997829,0,-0.49820000006023174
0.01077147391487026,0.05331319219159806,-0.49994198773537196
0.05333333333331147,0.010796450033846125,-0.4985777778380718
0.016118269435419563,0.049977578877223254,-0.4998701007557123
0.04999999999997806,0.016194675050769214,-0.49875000006032283
0.02142969408415504,0.04667674540674573,-0.4997703841662218
0.04690909301164706,0.021549490910730155,-0.49889976855676005
0.02673364003261563,0.04343299865403469,-0.49964265630577387
0.04408125549004216,0.02685054627151733,-0.49902842151758015
0.03204234560628952,0.04033257622475078,-0.49948664410446897
0.04124654295108349,0.032004853003916485,-0.4991493614076817
0.03782243161494171,0.037258657290543985,-0.4992847318937788
0.005396903363858916,0.06333115198689583,-0.4999854367775722
0,0.0666666666666666,-0.5000000000605348
0.0633333333333117,0.005398225016923064,-0.497994444504643
0.06666666666664511,0,-0.49777777783794136
0.010786955227803189,0.05998816978240726,-0.49994182085898015
0.05999999999997829,0.010796450033846128,-0.4982000000602324
0.016158366239875273,0.05664413960242526,-0.49986945366073926
0.05666693609367843,0.016194646671225513,-0.498394429237142
0.02148745650384283,0.05332622005471743,-0.4997691446669906
0.053389753018534415,0.021584274290146442,-0.4985747671966046
0.02677330977248432,0.050047312419082696,-0.49964159500238475
0.050340628076500006,0.026893562693903264,-0.49873291064275277
0.032021604449538436,0.046806033492590195,-0.4994873084846851
0.047437246231614084,0.03218793446945653,-0.49887485389532565
0.037107425358302026,0.04358431180879235,-0.49931151955205716
0.044576528516281244,0.03744002853886813,-0.4990064666130862
0.041805542569839205,0.04179675187985765,-0.4991261483656089
0.005397560665847454,0.0699989631382012,-0.49998543322996264
0,0.07333333333333325,-0.500000000060536
0.06999999999997852,0.005398225016923066,-0.4975500000601269
0.07333333333331193,0,-0.4973111111711989
0.010792524620815577,0.0666606210197173,-0.49994176076667957
0.06666666666664511,0.010796450033846133,-0.4977777778379417
0.01617934693349869,0.06331510268938954,-0.4998691144269147
0.0633333333333117,0.016194675050769203,-0.49799444450464453
0.021537848409546274,0.05997822917490103,-0.4997680606034381
0.06001468789563622,0.021589334387185622,-0.49819911867862815
0.026848139501780274,0.056667373736219356,-0.49963958876311915
0.056797584229819745,0.026952678763723342,-0.4983870172730937
0.032107397742194864,0.05338148367265876,-0.49948455756555926
0.053736269848754736,0.032282164481693645,-0.49855620671166495
0.03726583050471193,0.05012075692805795,-0.49930562899881464
0.050792188269457104,0.037660287588111185,-0.49871007686572005
0.04213338042161116,0.04706128417010709,-0.49911238918751083
0.04765678392790866,0.04354635453076844,-0.4988644155331708
0.005397854158744953,0.07666608786324214,-0.49998543164577436
0,0.0799999999999999,-0.5000000000605369
0.07666666666664534,0.005398225016923066,-0.497061111171159
0.07999999999997875,0,-0.49680000006000563
0.01079459070095892,0.07333043138287541,-0.4999417384663259
0.07333333333331193,0.010796450033846133,-0.4973111111711997
0.016187240036556593,0.06998942128686216,-0.499868986690513
0.06999999999997852,0.016194675050769203,-0.4975500000601278
0.02156872998151321,0.0666434364833371,-0.4997673950039881
0.06666666666664511,0.021592900067692267,-0.4977777778379444
0.026913997081959157,0.06330936085626321,-0.49963781844100996
0.06335730937641604,0.02698220522522725,-0.497992925734492
0.03222980530998158,0.0599839949793118,-0.4994806198852881
0.060189232483328636,0.032324381453166025,-0.49818862820676885
0.037471353539273604,0.05668528946949159,-0.49929794889238505
0.05716186048334987,0.03763410701930141,-0.49836626091330594
0.04269988161130736,0.053344638620208266,-0.4990883601155744
0.054184440608834046,0.04287113648857898,-0.4985320232582473
0.04790213463048608,0.05035951719683006,-0.49885269280926753
0.052264314186323824,0.047635632820490215,-0.4986342207916272
0.0053981427959203035,0.08333320500989119,-0.4999854300877132
0,0.08666666666666656,-0.5000000000605386
0.08333333333331217,0.005398225016923066,-0.4965277778377399
0.08666666666664558,0,-0.4962444445043608
0.010795780635077454,0.07999889063672065,-0.4999417256207676
0.07999999999997875,0.010796450033846133,-0.4968000000600066
0.016191633121004825,0.07666178463661569,-0.4998689155689527
0.07666666666664534,0.016194675050769203,-0.49706111117116075
0.021581415619728487,0.07331886499984197,-0.49976712131042206
0.07333333333331193,0.021592900067692267,-0.4973111111712027
